filepath,label
data/raw/Training\pituitary\Tr-pi_797.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1291.jpg,glioma
data/raw/Training\notumor\Tr-no_705.jpg,notumor
data/raw/Training\glioma\Tr-gl_822.jpg,glioma
data/raw/Training\glioma\Tr-gl_289.jpg,glioma
data/raw/Training\notumor\Tr-no_487.jpg,notumor
data/raw/Training\glioma\Tr-gl_718.jpg,glioma
data/raw/Training\notumor\Tr-no_226.jpg,notumor
data/raw/Training\pituitary\Tr-pi_652.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_12.jpg,pituitary
data/raw/Training\notumor\Tr-no_250.jpg,notumor
data/raw/Training\notumor\Tr-no_1093.jpg,notumor
data/raw/Training\pituitary\Tr-pi_168.jpg,pituitary
data/raw/Training\glioma\Tr-gl_842.jpg,glioma
data/raw/Training\glioma\Tr-gl_483.jpg,glioma
data/raw/Training\notumor\Tr-no_571.jpg,notumor
data/raw/Training\notumor\Tr-no_760.jpg,notumor
data/raw/Training\glioma\Tr-gl_848.jpg,glioma
data/raw/Training\notumor\Tr-no_468.jpg,notumor
data/raw/Training\glioma\Tr-gl_387.jpg,glioma
data/raw/Training\meningioma\Tr-me_525.jpg,meningioma
data/raw/Training\glioma\Tr-gl_868.jpg,glioma
data/raw/Training\meningioma\Tr-me_1222.jpg,meningioma
data/raw/Training\notumor\Tr-no_211.jpg,notumor
data/raw/Training\pituitary\Tr-pi_516.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1045.jpg,pituitary
data/raw/Training\meningioma\Tr-me_32.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_64.jpg,pituitary
data/raw/Training\glioma\Tr-gl_955.jpg,glioma
data/raw/Training\meningioma\Tr-me_730.jpg,meningioma
data/raw/Training\glioma\Tr-gl_267.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1242.jpg,pituitary
data/raw/Training\notumor\Tr-no_234.jpg,notumor
data/raw/Training\notumor\Tr-no_1307.jpg,notumor
data/raw/Training\pituitary\Tr-pi_852.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1277.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1208.jpg,meningioma
data/raw/Training\glioma\Tr-gl_313.jpg,glioma
data/raw/Training\notumor\Tr-no_36.jpg,notumor
data/raw/Training\notumor\Tr-no_1210.jpg,notumor
data/raw/Training\meningioma\Tr-me_1185.jpg,meningioma
data/raw/Training\glioma\Tr-gl_792.jpg,glioma
data/raw/Training\notumor\Tr-no_1228.jpg,notumor
data/raw/Training\glioma\Tr-gl_843.jpg,glioma
data/raw/Training\meningioma\Tr-me_83.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1191.jpg,meningioma
data/raw/Training\meningioma\Tr-me_617.jpg,meningioma
data/raw/Training\meningioma\Tr-me_597.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1286.jpg,glioma
data/raw/Training\notumor\Tr-no_65.jpg,notumor
data/raw/Training\glioma\Tr-gl_847.jpg,glioma
data/raw/Training\meningioma\Tr-me_437.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_711.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_694.jpg,pituitary
data/raw/Training\notumor\Tr-no_257.jpg,notumor
data/raw/Training\notumor\Tr-no_391.jpg,notumor
data/raw/Training\notumor\Tr-no_1304.jpg,notumor
data/raw/Training\meningioma\Tr-me_528.jpg,meningioma
data/raw/Training\glioma\Tr-gl_814.jpg,glioma
data/raw/Training\notumor\Tr-no_562.jpg,notumor
data/raw/Training\meningioma\Tr-me_349.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_956.jpg,pituitary
data/raw/Training\meningioma\Tr-me_588.jpg,meningioma
data/raw/Training\notumor\Tr-no_104.jpg,notumor
data/raw/Training\notumor\Tr-no_1028.jpg,notumor
data/raw/Training\meningioma\Tr-aug-me_51.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_28.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_544.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1316.jpg,glioma
data/raw/Training\pituitary\Tr-pi_3.jpg,pituitary
data/raw/Training\notumor\Tr-no_338.jpg,notumor
data/raw/Training\glioma\Tr-gl_1001.jpg,glioma
data/raw/Training\notumor\Tr-no_266.jpg,notumor
